subsystem,reaction
Alanine and aspartate metabolism,AGTim
Alanine and aspartate metabolism,AGTix
Alanine and aspartate metabolism,ARGSS
Alanine and aspartate metabolism,ASNNm
Alanine and aspartate metabolism,ASNS1
Alanine and aspartate metabolism,ASPNATm
Alanine and aspartate metabolism,ASPTAm
Alanine and aspartate metabolism,DASPO1p
Alanine and aspartate metabolism,NACASPAH
Alanine and aspartate metabolism,ALAR
Alanine and aspartate metabolism,ASPTA
Alanine and aspartate metabolism,r0127
Alanine and aspartate metabolism,ARGSL
Alkaloid synthesis,COKECBESr
Aminosugar metabolism,ACGALK
Aminosugar metabolism,ACGALK2
Aminosugar metabolism,ACGAM6PSi
Aminosugar metabolism,ACGAMK
Aminosugar metabolism,ACGAMPM
Aminosugar metabolism,ACNAM9PL
Aminosugar metabolism,ACNAM9PL2
Aminosugar metabolism,ACNAMPH
Aminosugar metabolism,ACNMLr
Aminosugar metabolism,CHTNASE
Aminosugar metabolism,CHTNASEe
Aminosugar metabolism,CMPSAS
Aminosugar metabolism,CMPSASn
Aminosugar metabolism,HEX10
Aminosugar metabolism,KDNH
Aminosugar metabolism,UAG2EMAi
Aminosugar metabolism,UAGALDP
Aminosugar metabolism,r0013
Aminosugar metabolism,r0113
Aminosugar metabolism,r0363
Aminosugar metabolism,r0364
Aminosugar metabolism,r0782
Aminosugar metabolism,r1374
Aminosugar metabolism,r1375
Aminosugar metabolism,GF6PTA
Aminosugar metabolism,UAG4E
Aminosugar metabolism,UAGDP
Aminosugar metabolism,AGDC
Aminosugar metabolism,AMANK
Aminosugar metabolism,G6PDA
Aminosugar metabolism,ACGAM2E
Aminosugar metabolism,HMR_4124
Androgen and estrogen synthesis and metabolism,RE1587C
Androgen and estrogen synthesis and metabolism,RE1630C
Androgen and estrogen synthesis and metabolism,RE1632C
Androgen and estrogen synthesis and metabolism,RE2235C
Androgen and estrogen synthesis and metabolism,RE2235R
Androgen and estrogen synthesis and metabolism,RE2386C
Androgen and estrogen synthesis and metabolism,RE3013C
Androgen and estrogen synthesis and metabolism,RE3108C
Androgen and estrogen synthesis and metabolism,RE3218C
Androgen and estrogen synthesis and metabolism,RE3220C
Androgen and estrogen synthesis and metabolism,HMR_1944
Androgen and estrogen synthesis and metabolism,HMR_1958
Androgen and estrogen synthesis and metabolism,HMR_1962
Androgen and estrogen synthesis and metabolism,HMR_1967
Androgen and estrogen synthesis and metabolism,HMR_1968
Androgen and estrogen synthesis and metabolism,HMR_1970
Androgen and estrogen synthesis and metabolism,HMR_1971
Androgen and estrogen synthesis and metabolism,HMR_1976
Androgen and estrogen synthesis and metabolism,HMR_1982
Androgen and estrogen synthesis and metabolism,HMR_1983
Androgen and estrogen synthesis and metabolism,HMR_2014
Androgen and estrogen synthesis and metabolism,HMR_2016
Androgen and estrogen synthesis and metabolism,HMR_2018
Androgen and estrogen synthesis and metabolism,HMR_2029
Androgen and estrogen synthesis and metabolism,HMR_2088
Androgen and estrogen synthesis and metabolism,HMR_2089
Arachidonic acid metabolism,RE2563C
Arachidonic acid metabolism,RE3033C
Arachidonic acid metabolism,RE3036C
